address,rooms,price,link,date
"Минск, переулок Козлова, 46",1,220.00,https://r.onliner.by/ak/apartments/275472,2017-11-22T13:39:16+0300
"Минск, проспект Газеты Правда, 9",1,300.00,https://r.onliner.by/ak/apartments/120464,2017-11-22T13:26:54+0300
"Минск, Широкая улица, 12",1,250.00,https://r.onliner.by/ak/apartments/133070,2017-11-22T13:26:46+0300
"Минск, улица Ольшевского, 7 к2",1,250.00,https://r.onliner.by/ak/apartments/147730,2017-11-22T13:26:31+0300
"Минск, улица Шаранговича, 59 к2",1,200.00,https://r.onliner.by/ak/apartments/178636,2017-11-22T13:25:53+0300
"Минск, улица Левкова, 17",1,250.00,https://r.onliner.by/ak/apartments/182497,2017-11-22T13:25:42+0300
"Минск, улица Мазурова, 18",1,280.00,https://r.onliner.by/ak/apartments/184039,2017-11-22T13:25:37+0300
"Минск, улица Всеволода Игнатовского, 12",1,300.00,https://r.onliner.by/ak/apartments/184344,2017-11-22T13:25:35+0300
"Минск, улица Грибоедова, 28",1,220.00,https://r.onliner.by/ak/apartments/187847,2017-11-22T13:25:27+0300
"Минск, улица Петра Глебки, 82",1,250.00,https://r.onliner.by/ak/apartments/200790,2017-11-22T13:25:14+0300
"Минск, Обойная улица, 10",1,300.00,https://r.onliner.by/ak/apartments/242678,2017-11-22T13:24:20+0300
"Минск, улица Жуковского, 10 к2",1,300.00,https://r.onliner.by/ak/apartments/251969,2017-11-22T13:23:56+0300
"Минск, улица Михася Лынькова, 15В",1,280.00,https://r.onliner.by/ak/apartments/254500,2017-11-22T13:23:52+0300
"Минск, Партизанский проспект, 37",1,250.00,https://r.onliner.by/ak/apartments/265806,2017-11-22T13:23:29+0300
"Минск, Сухаревская улица, 34",1,270.00,https://r.onliner.by/ak/apartments/256745,2017-11-22T13:12:01+0300
"Минск, Обойная улица, 4 к1",1,300.00,https://r.onliner.by/ak/apartments/275462,2017-11-22T13:01:55+0300
"Минск, улица Кольцова, 16",1,270.00,https://r.onliner.by/ak/apartments/269001,2017-11-22T12:56:49+0300
"Минск, улица Чичерина, 12",1,300.00,https://r.onliner.by/ak/apartments/273426,2017-11-22T12:47:44+0300
"Минск, Заславская улица, 31",1,280.00,https://r.onliner.by/ak/apartments/275454,2017-11-22T12:37:35+0300
"Минск, улица Кольцова, 8 к1",1,170.00,https://r.onliner.by/ak/apartments/264726,2017-11-22T12:35:09+0300
"Минск, Логойский тракт, 39 к1",1,200.00,https://r.onliner.by/ak/apartments/202988,2017-11-22T12:35:07+0300
"Минск, Ташкентская улица, 12",1,190.00,https://r.onliner.by/ak/apartments/269108,2017-11-22T12:34:55+0300
"Минск, улица Плеханова, 121",1,190.00,https://r.onliner.by/ak/apartments/272392,2017-11-22T12:34:48+0300
"Минск, улица Владислава Сырокомли, 20",1,150.00,https://r.onliner.by/ak/apartments/272137,2017-11-22T12:34:45+0300
"Минск, улица Плеханова, 48",1,180.00,https://r.onliner.by/ak/apartments/274102,2017-11-22T12:34:38+0300
"Минск, улица Кунцевщина, 4",1,250.00,https://r.onliner.by/ak/apartments/275090,2017-11-22T12:34:35+0300
"Минск, проспект Газеты Звязда, 23",1,280.00,https://r.onliner.by/ak/apartments/258569,2017-11-22T12:26:14+0300
"Минск, проспект Рокоссовского, 131",1,180.00,https://r.onliner.by/ak/apartments/259414,2017-11-22T12:26:14+0300
"Минск, улица Сергея Есенина, 36",1,250.00,https://r.onliner.by/ak/apartments/260321,2017-11-22T12:26:12+0300
"Минск, улица Максима Богдановича, 102",1,200.00,https://r.onliner.by/ak/apartments/264347,2017-11-22T12:26:10+0300
"Минск, Мястровская улица",1,280.00,https://r.onliner.by/ak/apartments/264943,2017-11-22T12:26:10+0300
"Минск, Сухаревская улица, 58",1,190.00,https://r.onliner.by/ak/apartments/267980,2017-11-22T12:26:08+0300
"Минск, проспект Пушкина, 26",1,230.00,https://r.onliner.by/ak/apartments/268790,2017-11-22T12:26:04+0300
"Минск, Камайская улица",1,250.00,https://r.onliner.by/ak/apartments/268828,2017-11-22T12:26:04+0300
"Минск, проспект Рокоссовского, 142",1,160.00,https://r.onliner.by/ak/apartments/269595,2017-11-22T12:26:02+0300
"Минск, Орловская улица, 86 к4",1,200.00,https://r.onliner.by/ak/apartments/269944,2017-11-22T12:26:01+0300
"Минск, улица Притыцкого, 38",1,200.00,https://r.onliner.by/ak/apartments/270140,2017-11-22T12:26:01+0300
"Минск, проспект Рокоссовского, 140",1,170.00,https://r.onliner.by/ak/apartments/270862,2017-11-22T12:26:00+0300
"Минск, Орловская улица, 86 к4",1,180.00,https://r.onliner.by/ak/apartments/271281,2017-11-22T12:25:59+0300
"Минск, улица Корженевского, 9 к1",1,170.00,https://r.onliner.by/ak/apartments/271504,2017-11-22T12:25:58+0300
"Минск, улица Чигладзе, 2",1,175.00,https://r.onliner.by/ak/apartments/274119,2017-11-22T12:25:53+0300
"Минск, улица Притыцкого, 39",1,300.00,https://r.onliner.by/ak/apartments/275196,2017-11-22T12:25:52+0300
